,time,delta_t,throttle,brake,proposed,current
0,1506689473.34,1506689473.34,1.0,0.0,5.23427229568,8.9268255296e-07
1,1506689473.36,0.0200879573822,1.0,0.0,5.23427229568,1.41777797216e-06
2,1506689473.38,0.0200510025024,1.0,0.0,5.23427229568,0.080669127968
3,1506689473.4,0.0200099945068,1.0,0.0,5.23427229568,0.080669127968
4,1506689473.42,0.0197820663452,1.0,0.0,5.23427229568,0.286333411584
5,1506689473.44,0.0203750133514,1.0,0.0,5.23427229568,0.397732516192
6,1506689473.46,0.0195519924164,1.0,0.0,5.23427229568,0.48924370528
7,1506689473.48,0.0200409889221,1.0,0.0,5.23427229568,0.59803625376
8,1506689473.5,0.0200800895691,1.0,0.0,5.23427229568,0.59803625376
9,1506689473.52,0.0200519561768,1.0,0.0,5.23427229568,0.59803625376
10,1506689473.54,0.0200140476227,1.0,0.0,5.23427229568,0.91954831584
11,1506689473.56,0.0201008319855,1.0,0.0,5.23427229568,1.0268106464
12,1506689473.58,0.0200181007385,1.0,0.0,5.23427229568,1.0301120368
13,1506689473.6,0.0200469493866,1.0,0.0,5.23427229568,1.0301120368
14,1506689473.62,0.0200400352478,1.0,0.0,5.23427229568,1.02520979616
15,1506689473.64,0.0200500488281,1.0,0.0,5.23427229568,1.02279130976
16,1506689473.66,0.0200479030609,1.0,0.0,5.23427229568,1.11536792928
17,1506689473.68,0.0196690559387,1.0,0.0,5.23427229568,1.12697711104
18,1506689473.7,0.0199279785156,1.0,0.0,5.23427229568,1.12697711104
19,1506689473.72,0.0201449394226,1.0,0.0,5.23427229568,1.12162961856
20,1506689473.75,0.0276470184326,1.0,0.0,5.23427229568,1.12162961856
21,1506689473.76,0.0121920108795,1.0,0.0,5.23427229568,1.11640461504
22,1506689473.78,0.0202610492706,1.0,0.0,5.23427229568,1.11379926592
23,1506689473.8,0.0195989608765,1.0,0.0,5.23427229568,1.11379926592
24,1506689473.82,0.020045042038,1.0,0.0,5.23427229568,1.11379926592
25,1506689473.84,0.0205070972443,1.0,0.0,5.23427229568,1.10602121696
26,1506689473.86,0.0195789337158,1.0,0.0,5.23427229568,1.10343866688
27,1506689473.88,0.0200369358063,1.0,0.0,5.23427229568,1.19474926912
28,1506689473.9,0.0205509662628,1.0,0.0,5.23427229568,1.19474926912
29,1506689473.92,0.0195560455322,1.0,0.0,5.23427229568,1.20442366176
30,1506689473.94,0.0200529098511,1.0,0.0,5.23427229568,1.20164396704
31,1506689473.96,0.02006316185,1.0,0.0,5.0606748484,1.19886918976
32,1506689473.98,0.0200958251953,1.0,0.0,5.0606748484,1.19609932992
33,1506689474.0,0.0199592113495,1.0,0.0,5.0606748484,1.19609932992
34,1506689474.02,0.0202209949493,1.0,0.0,5.0606748484,1.19057078624
35,1506689474.04,0.0206429958344,1.0,0.0,5.0606748484,1.18506817088
36,1506689474.06,0.0188529491425,1.0,0.0,5.0606748484,1.18506817088
37,1506689474.08,0.0200510025024,1.0,0.0,5.0606748484,1.18232513344
38,1506689474.1,0.0205230712891,1.0,0.0,5.0606748484,1.18232513344
39,1506689474.12,0.0195889472961,1.0,0.0,5.0606748484,1.18232513344
40,1506689474.14,0.0200159549713,1.0,0.0,5.0606748484,1.17413357248
41,1506689474.16,0.0201060771942,1.0,0.0,5.0606748484,1.17141378112
42,1506689474.18,0.0200679302216,1.0,0.0,5.0606748484,1.16869980128
43,1506689474.2,0.0195310115814,1.0,0.0,5.0606748484,1.16869980128
44,1506689474.22,0.0203149318695,1.0,0.0,5.0606748484,1.16869980128
45,1506689474.24,0.0197360515594,1.0,0.0,5.0606748484,1.1605896016
46,1506689474.26,0.0205750465393,1.0,0.0,5.0606748484,1.24880758112
47,1506689474.28,0.0205678939819,1.0,0.0,5.0606748484,1.24880758112
48,1506689474.3,0.0190579891205,1.0,0.0,5.0606748484,1.24880758112
49,1506689474.32,0.0198581218719,1.0,0.0,5.0606748484,1.25841804704
50,1506689474.34,0.020210981369,1.0,0.0,5.0606748484,1.25551139296
51,1506689474.36,0.0201058387756,1.0,0.0,5.0606748484,1.34594043232
52,1506689474.38,0.0205330848694,1.0,0.0,5.0606748484,1.45230197728
